,年份,电影名,票房
935,2018,小狗奶瓶,160.8
936,2018,余额不足,34
937,2018,莫名我就喜欢你,1.2
938,2018,我和“叛徒”老爸,2.1
939,2018,奔,4
940,2018,泡芙小姐,1928.9
941,2018,大导归来,23.5
942,2018,无迹可寻,36.3
943,2018,疯狂熊孩子,26.2
944,"<span style=""color: #ff0000;"">2017</span>",纯洁心灵·逐梦演艺圈（重映）,233.1（总计）
945,"<span style=""color: #ff0000;"">2004</span>",龙凤斗（重映）,1400（总计）
946,2018,唐人街探案2,339768.8
947,2018,捉妖记2,223665.6
948,2018,西游记女儿国,72743.9
949,2018,红海行动,364726.2
950,2018,祖宗十九代,16978.9
951,2018,人怕出名猪怕壮,640.1
952,2018,爱在记忆消逝前,641.5
953,2018,翻滚吧姐妹,9.9
954,2018,三块广告牌,6498.2
955,2018,小萝莉的猴神大叔,28538
956,2018,金钱世界,1115.1
957,2018,比得兔,16824.4
958,2018,闺蜜2,6427.3
959,2018,宇宙有爱浪漫同游,153.7
960,2018,厉害了，我的国,47920.6
961,2018,落绕,13.3
962,2018,对戒,2.1
963,2018,飞鸟历险记,130.8
964,2018,黑豹,66227.1
965,2018,恋爱回旋,1852.9
966,2018,妈妈咪鸭,3716.6
967,2018,灵魂当铺之时间典当,128.5
968,2018,水形物语,10530.4
969,2018,古墓丽影：源起之战,49696
970,2018,大坏狐狸的故事,1607.3
971,2018,虎皮萌企鹅,867.1
972,2018,十七后 与青春化敌为友,10.4
973,2018,玲珑井,198.2
974,2018,无眸之杀,98.2
975,2018,脱皮爸爸,801.8
976,2018,环太平洋：雷霆再起,63263.7
977,2018,青春24秒,7.3
978,2018,出山记,4.9
979,2018,萌犬好声音,978
980,2018,遇见你真好,5094.4
981,2018,河间圣手,6.4
982,2018,头号玩家,139532.3
983,2018,第三度嫌疑人,451
984,2018,通勤营救,4534
985,2018,花滑女王,1713.2
986,"<span style=""color: #ff0000;"">2016</span>",爸爸的木房子（重映）,10.6
987,2018,玩命,26.1
988,2018,我说的都是真的,1781.2
989,2018,三伏天,4.2
990,2018,奇葩朵朵,3019.5
991,2018,暴裂无声,5420.9
992,2018,起跑线,21023.5
993,2018,清水里的刀子,57.3
994,2018,冰雪女王3：火与冰,7411.8
995,2018,猫与桃花源,2178.3
996,2018,湮灭,6602.8
997,2018,寻找罗麦,401.1
998,2018,狂暴巨兽,100307
999,2018,西北风云,402.5
1000,2018,夺命来电,121.5
1001,2018,毕业作品,450.6
1002,2018,凌晨两点半,186.6
1003,2018,青春后驱动,2.1
1004,2018,二师兄来了,2.6
1005,2018,渠首欢歌,0.4
1006,2018,壹号别墅,18.1
1007,2018,犬之岛,4346.8
1008,2018,米花之味,226.7
1009,2018,求求你爱上我,21.3
1010,2018,脱单告急,3498.1
1011,2018,21克拉,10998
1012,"<span style=""color: #ff0000;"">2015</span>",龙在哪里？（重映）,2461（总计）
1013,2018,理想之路,68.9
1014,"<span style=""color: #ff0000;"">2013</span>",古城会（重映）,3.1（总计）
1015,2018,冰封迷案,51.6
1016,2018,后来的我们,136095
1017,2017,玛丽与魔女之花,2059.5
1018,2018,战神纪,3797.9
1019,2018,幕后玩家,35748.3
1020,2018,低压槽：欲望之城,3484.5
1021,2018,黄金花,149.6
1022,2018,午夜十二点,234.5
1023,2018,小公主艾薇拉与神秘王国,657.8
1024,2018,尖叫直播,310.7
1025,2018,巴霍巴利王2：终结,108.8
1026,2018,香港大营救,640.2
1027,2018,青年马克思,2077.8
1028,2018,任性的硬币,0.6
1029,2018,复仇者联盟3：无限战争,239041.9
1030,2018,战犬瑞克斯,659.7
1031,2018,我是你妈,3681
1032,2018,破门,34.8
1033,2018,天梦,3.7
1034,2018,七号公馆,59.2
1035,2018,亲爱的，我要和别人结婚了,194
1036,2018,天下父母,18.4
1037,2018,路过未来,252.4
1038,2018,寂静之地,21954.1
1039,2018,昼颜,1348
1040,2018,超时空同居,89966.8
1041,2018,荒城纪,137.1
1042,2018,火魔高跟鞋,2.2
1043,2018,完美陌生人,5349.6
1044,2018,游侠索罗：星球大战外传,10560.3
1045,2018,命运速递,138.9
1046,2018,神谕通天,8.6
1047,2018,时间暗局,9.1
1048,2018,魔镜奇缘2,2062.9
1049,"<span style=""color: #ff0000;"">2017</span>",光影之战（重映）,87.5（总计）
1050,2018,毛骨悚然之红衣男孩,145.2
1051,2018,潜艇总动员：海底两万里,7266.8
1052,2018,寻找雪山,10.8
1053,2018,哆啦A梦：大雄的金银岛,20923.3
1054,"<span style=""color: #ff0000;"">2017</span>",大耳朵图图之美食狂想曲（重映）,4328.4（总计）
1055,2018,我的宠物恐龙,858.5
1056,2018,蓝色金鱼,100.7
1057,2018,暗夜良人,87.5
1058,2018,厕所英雄,9456
1059,2018,深海越狱,5136.2
1060,2018,暮光·巴黎,207.1
1061,2018,一个人的江湖,6.3
1062,2018,幸福马上来,10110.4
1063,2018,恐怖浴室,251.2
1064,2018,一纸婚约,74.2
1065,2018,因果启示录,126.2
1066,2018,盯上小偷的贼,4.3
1067,2018,那年，我还没长大,4.2
1068,2018,别让爱情走弯路,0.8
1069,2018,侏罗纪世界2,169551.2
1070,2018,血十三,44.9
1071,2018,猛虫过江,20276.1
1072,2018,泡菜爱上小龙虾,71.3
1073,2018,时间监狱,4.5
1074,2018,家, &#8211;
1075,2018,让我怎么相信你,22.1
1076,2018,疯狂这一年,0.9
1077,2018,吃货宇宙,484.2
1078,2018,第七个小矮人,2539
1079,2018,疯狂的麻将,9.6
1080,2018,卖命, &#8211;
1081,2018,监狱犬计划,124.1
1082,2018,生存家族,1137.6
1083,2018,超人总动员2,35417.8
1084,2018,龙虾刑警,6857.6
1085,2018,泄密者,7058.4
1086,2018,凤凰城遗忘录,74.1
1087,2018,伊阿索密码,130.6
1088,2018,致命夺宝,21.9
1089,2018,九门提督,0.9
1090,2018,出走的娜拉,2.6
1091,"<span style=""color: #ff0000;"">1990</span>",阿飞正传（重映）,1972.2（总计）
1092,2018,明天有多远,12.1
1093,2018,马兰花开,36.8
1094,2018,动物世界,50898.7
1095,2018,金蝉脱壳2,9119
1096,2018,青春不留白,43.6
1097,2018,恋爱101度,1.4
1098,2018,姽婳,74.7
1099,2018,暹罗决：九神战甲,252.5
1100,2018,最后一球,608.7
1101,2018,凤皇传, &#8211;
1102,2018,地下凶猛,12.1
1103,2018,快乐星球之三十六号,68.4
1104,2018,我不是药神,309712.7
1105,2018,新大头儿子和小头爸爸3,15805.8
1106,2018,只能活一个,1.6
1107,2018,细思极恐,146.2
1108,2018,红盾先锋,34.8
1109,2018,邪不压正,58276.5
1110,2018,阿修罗,4883.7
1111,2018,铁笼,0.5
1112,2018,美丽童年,232.7
1113,2018,小悟空,879
1114,2018,八只鸡,18.2
1115,2018,左滩,22.8
1116,2018,格桑花开的时候,10.5
1117,2018,摩天营救,66972.8
1118,2018,北方一片苍茫,73
1119,2018,淘气大侦探,1041.4
1120,2018,兄弟班,190.5
1121,2018,汪星卧底,1495.8
1122,2018,神奇马戏团,6470.8
1123,2018,海龙屯,107.9
1124,2018,浴血广昌,9156.7
1125,2018,三十那年,1.3
1126,2018,妈妈咪呀2,414.6
1127,2018,风语咒,11286.7
1128,2018,解码游戏‎,969
1129,2018,的士速递5,3119.2
1130,2018,神秘世界历险记4,10457.1
1131,2018,肆式青春,282.1
1132,2018,真心话太冒险, &#8211;
1133,2018,一出好戏,135131.9
1134,2018,爱情公寓,55472.2
1135,2018,巨齿鲨,104890.2
